放之四海而皆准,放之四海而皆準
八千里路云和月,八千里路雲和月
黑云压城城欲摧,黑雲壓城城欲摧
通俗常言疏证,通俗常言疏證
龙无云而不行,龍無雲而不行
巴尔干山脉,巴爾幹山脈
巴尔干半岛,巴爾幹半島
唯物辩证法,唯物辯證法
税捐稽征处,稅捐稽徵處
准噶尔盆地,準噶爾盆地
燕云十六州,燕雲十六州
云麾将军碑,雲麾將軍碑
松了一口气,鬆了一口氣
一发千钧,一髮千鈞
三师七证,三師七證
三征七辟,三徵七辟
三媒六证,三媒六證
千钧一发,千鈞一髮
干巴疵咧,乾巴疵咧
干父之蛊,幹父之蠱
干的停当,幹的停當
广雅疏证,廣雅疏證
才能干济,才能幹濟
不干不净,不乾不淨
不干性油,不乾性油
天干物燥,天乾物燥
心长发短,心長髮短
心细如发,心細如髮
文身断发,文身斷髮
无征不信,無徵不信
发上冲冠,髮上衝冠
发上指冠,髮上指冠
发引千钧,髮引千鈞
发光可鉴,髮光可鑑
发指眦裂,髮指眥裂
发短心长,髮短心長
发踊冲冠,髮踊衝冠
归真证果,歸真證果
永志不忘,永誌不忘
生命征象,生命徵象
冲冠发怒,衝冠髮怒
有证为凭,有證為憑
死无对证,死無對證
自由心证,自由心證
志之不忘,誌之不忘
扶同硬证,扶同硬證
杞宋无征,杞宋無徵
没干没净,沒乾沒淨
间不容发,間不容髮
征风召雨,徵風召雨
征名责实,徵名責實
披榛采兰,披榛採蘭
秃妃之发,禿妃之髮
采生折割,採生折割
青山一发,青山一髮
齿危发秀,齒危髮秀
齿落发白,齒落髮白
信而有征,信而有徵
怒发冲冠,怒髮衝冠
洪炉燎发,洪爐燎髮
旁征博引,旁徵博引
配水干管,配水幹管
酒食征逐,酒食徵逐
推干净儿,推乾淨兒
唾面自干,唾面自乾
援古证今,援古證今
董氏封发,董氏封髮
暴敛横征,暴斂橫徵
螽斯之征,螽斯之徵
丝恩发怨,絲恩髮怨
带发修行,帶髮修行
细不容发,細不容髮
谬采虚声,謬採虛聲
闷着头干,悶著頭幹
颠干倒坤,顛乾倒坤
推情准理,推情準理
拨雨撩云,撥雨撩雲
拨云睹日,撥雲睹日
拨云撩雨,撥雲撩雨
拨云见日,撥雲見日
波诡云谲,波詭雲譎
波谲云诡,波譎雲詭
波涌云乱,波涌雲亂
步月登云,步月登雲
喷云吐雾,噴雲吐霧
喷云嗳雾,噴雲噯霧
片云遮顶,片雲遮頂
暮云亲舍,暮雲親舍
暮云春树,暮雲春樹
翻手为云,翻手為雲
翻云覆雨,翻雲覆雨
风靡云蒸,風靡雲蒸
风靡云涌,風靡雲湧
风虎云龙,風虎雲龍
风举云摇,風舉雲搖
风卷残云,風捲殘雲
风起云布,風起雲布
风起云蒸,風起雲蒸
风起云涌,風起雲湧
风轻云淡,風輕雲淡
风轻云净,風輕雲淨
风兴云蒸,風興雲蒸
覆雨翻云,覆雨翻雲
断雨残云,斷雨殘雲
涛生云灭,濤生雲滅
殢雨尤云,殢雨尤雲
殢云尤雨,殢雲尤雨
铁云藏龟,鐵雲藏龜
吞云吐雾,吞雲吐霧
拿云捉月,拿雲捉月
拿云握雾,拿雲握霧
浓云密布,濃雲密布
镂月裁云,鏤月裁雲
撩云拨雨,撩雲撥雨
高步云衢,高步雲衢
高唱入云,高唱入雲
过眼烟云,過眼煙雲
开云见日,開雲見日
海立云垂,海立雲垂
烘云托月,烘雲托月
九霄云外,九霄雲外
就日瞻云,就日瞻雲
江云渭树,江雲渭樹
晴时多云,晴時多雲
晴云秋月,晴雲秋月
携云挈雨,攜雲挈雨
携云握雨,攜雲握雨
闲云孤鹤,閒雲孤鶴
闲云野鹤,閒雲野鶴
星罗云布,星羅雲布
兴云布雨,興雲布雨
